"POINT (120.8374256 31.6350184)",1,0
"POINT (121.0662016 31.5593894)",1,1
"POINT (120.9290941 31.6495651)",1,2
"POINT (120.6203437 31.9637676)",1,3
"POINT (120.4086934 31.9575921)",1,4
"POINT (120.6387338 31.8192013)",1,5
"POINT (120.5443555 31.9734178)",1,6
"POINT (120.6238852 31.7895744)",1,7
"POINT (120.7992584 31.7485543)",1,8
"POINT (120.7308581 31.9022019)",1,0
"POINT (120.7480757 31.6572954)",1,1
"POINT (120.5810725 31.3016935)",1,2
"POINT (120.4154517 30.8539189)",1,3
"POINT (120.7786275 30.7502821)",1,4
"POINT (120.704931 30.7668311)",1,5
"POINT (121.642504 31.1740731)",1,6
"POINT (121.7990979 30.9179005)",1,7
"POINT (121.4159555 31.237347)",1,8
"POINT (121.4180678 31.2409973)",1,0
"POINT (121.4516506 31.2692831)",1,1
"POINT (120.7917983 31.3355481)",1,2
"POINT (120.5850613 31.3407822)",1,3
"POINT (120.6189904 31.3035097)",1,4
"POINT (121.4910244 31.2644634)",1,5
"POINT (121.4930125 31.2634019)",1,6
"POINT (121.5018763 31.270639)",1,7
"POINT (121.4890342 31.2553898)",1,8
"POINT (121.4902698 31.2554405)",1,0
"POINT (121.4954466 31.2584996)",1,1
"POINT (121.4973759 31.2600786)",1,2
"POINT (121.4989324 31.26129)",1,3
"POINT (121.5100026 31.2674387)",1,4
"POINT (121.541617 31.2828544)",1,5
"POINT (121.4841466 31.2537626)",1,6
"POINT (121.4966036 31.2633168)",1,7
"POINT (121.4906432 31.2643385)",1,8
"POINT (121.4879612 31.2653228)",1,0
"POINT (121.4952415 31.2618373)",1,1
"POINT (120.6705283 31.316088)",1,2
"POINT (120.6712016 31.3129295)",1,3
"POINT (120.6660471 31.3197906)",1,4
"POINT (120.6695887 31.3203635)",1,5
"POINT (120.6669518 31.3155213)",1,6
"POINT (120.6640638 31.3292015)",1,7
"POINT (121.4956068 31.2630101)",1,8
"POINT (120.7204448 31.3011945)",1,0
"POINT (120.7190942 31.3154071)",1,1
"POINT (120.7149907 31.3380367)",1,2
"POINT (120.7148453 31.3380179)",1,3
"POINT (120.7201986 31.3012936)",1,4
"POINT (120.7202521 31.2993738)",1,5
"POINT (121.4811266 31.2779751)",1,6
"POINT (121.4861448 31.2811649)",1,7
"POINT (121.4862693 31.2842454)",1,8
"POINT (121.4885494 31.251222)",1,0
"POINT (120.4638108 31.3230255)",1,1
"POINT (121.4965549 31.2593756)",1,2
"POINT (121.5003992 31.2564355)",1,3
"POINT (121.5011284 31.2550427)",1,4
"POINT (121.5020137 31.2534627)",1,5
"POINT (121.5000793 31.2808762)",1,6
"POINT (121.4916659 31.2840381)",1,7
"POINT (121.4957545 31.2825173)",1,8
"POINT (121.5019877 31.2844378)",1,0
"POINT (121.4955808 31.2623452)",1,1
"POINT (121.4966968 31.2633256)",1,2
"POINT (121.4853185 31.2609569)",1,3
"POINT (121.5116896 31.3023886)",1,4
"POINT (121.5106832 31.3018028)",1,5
"POINT (121.5096702 31.2990795)",1,6
"POINT (121.5215812 31.2796057)",1,7
"POINT (121.5178411 31.2877516)",1,8
"POINT (121.5069804 31.2939359)",1,0
"POINT (121.5151672 31.293693)",1,1
"POINT (121.5057607 31.2916658)",1,2
"POINT (121.516269 31.2913382)",1,3
"POINT (121.5225951 31.2929806)",1,4
"POINT (121.5099035 31.2863017)",1,5
"POINT (121.5030971 31.2955059)",1,6
"POINT (121.5008121 31.2936869)",1,7
"POINT (121.4778972 31.2695482)",1,8
"POINT (121.4777108 31.2681142)",1,0
"POINT (121.4793919 31.2631863)",1,1
"POINT (121.4770085 31.2705927)",1,2
"POINT (121.4750459 31.2715488)",1,3
"POINT (121.4849754 31.2477293)",1,4
"POINT (121.4851366 31.2477682)",1,5
"POINT (121.4873679 31.2485374)",1,6
"POINT (121.4962162 31.2632596)",1,7
"POINT (120.6204097 31.2942116)",1,8
"POINT (120.5615579 31.3601524)",1,0
"POINT (120.8627236 31.351504)",1,1
"POINT (120.9080514 31.3498149)",1,2
"POINT (121.0549978 31.3279598)",1,3
"POINT (121.228924 31.2517321)",1,4
"POINT (121.3267053 31.2530742)",1,5
"POINT (121.3486272 31.2536247)",1,6
"POINT (121.3431717 31.253865)",1,7
"POINT (121.3523607 31.1939367)",1,8
"POINT (121.3644589 31.2102461)",1,0
"POINT (121.3649236 31.2017759)",1,1
"POINT (121.3719329 31.1913466)",1,2
"POINT (121.3836394 31.1961488)",1,3
"POINT (121.3816244 31.191207)",1,4
"POINT (121.3691735 31.2030661)",1,5
"POINT (121.3652114 31.20464)",1,6
"POINT (121.3684337 31.2011497)",1,7
"POINT (121.3714779 31.2102096)",1,8
"POINT (120.5616488 31.3601909)",1,0
"POINT (120.5636503 31.3316197)",1,1
"POINT (120.9205326 31.3476943)",1,2
"POINT (120.8949213 31.3521748)",1,3
"POINT (120.7737819 31.3712159)",1,4
"POINT (120.5600566 31.2968908)",1,5
"POINT (121.2460962 31.2519977)",1,6
"POINT (121.2129634 31.2523042)",1,7
"POINT (120.4180212 31.4457675)",1,8
"POINT (120.4155597 31.4561188)",1,0
"POINT (121.3792495 31.2254706)",1,1
"POINT (121.4811429 31.2368047)",1,2
"POINT (121.4773772 31.2354788)",1,3
"POINT (121.4737619 31.2342751)",1,4
"POINT (121.4673329 31.2352293)",1,5
"POINT (121.4716535 31.2346453)",1,6
"POINT (121.4671258 31.2300343)",1,7
"POINT (121.5036315 31.257889)",1,8
"POINT (121.505071 31.2566359)",1,0
"POINT (121.5227543 31.2309778)",1,1
"POINT (121.5105232 31.2719893)",1,2
"POINT (121.5112868 31.2708715)",1,3
"POINT (121.5035113 31.2703282)",1,4
"POINT (121.4765782 31.2365231)",1,5
"POINT (121.4731239 31.2340204)",1,6
"POINT (121.4739266 31.2374674)",1,7
"POINT (121.4751319 31.2347906)",1,8
"POINT (121.4745864 31.2410872)",1,0
"POINT (121.4764711 31.2329898)",1,1
"POINT (120.5634715 31.2964757)",1,2
"POINT (120.5632899 31.2964048)",1,3
"POINT (121.4449697 31.2102276)",1,4
"POINT (121.4305839 31.1763718)",1,5
"POINT (121.4421712 31.173017)",1,6
